SampleDateTime;DeviceID;BatteryVoltage;ChargingFlag;PLMN;SignalStrength;AttachTries;ConnectTries;AttachFailures;ConnectFailures;GeneralFailures;LastFailureCode;Temperature
2022-12-24 00:54:06.7914590;cg1;3846;0;1;18;9;0;0;0;0;0;-7.75
2022-12-24 01:09:24.5542700;cg1;3876;0;1;24;7;0;0;0;0;0;-7.62
2022-12-24 01:24:45.0573710;cg1;3854;0;1;24;12;0;0;0;0;0;-7.5
2022-12-24 01:40:06.7266000;cg1;3854;0;1;17;13;0;0;0;0;0;-7.44
2022-12-24 01:55:23.8604330;cg1;3856;0;1;25;6;0;0;0;0;0;-7.31
2022-12-24 02:10:49.7490550;cg1;3854;0;8;22;18;1;0;0;0;0;-7.25
2022-12-24 02:26:08.7913960;cg1;3856;0;8;24;10;0;0;0;0;0;-7.19
2022-12-24 02:41:28.5512690;cg1;3854;0;8;21;12;0;0;0;0;0;-7.06
2022-12-24 02:56:47.7538910;cg1;3854;0;8;23;7;0;0;0;0;0;-6.94
2022-12-24 03:12:09.9085930;cg1;3854;0;8;20;14;0;0;0;0;0;-6.81
2022-12-24 03:27:31.2842120;cg1;3854;0;8;20;14;0;0;0;0;0;-6.75
2022-12-24 03:42:54.8912170;cg1;3852;0;1;17;18;0;0;0;0;0;-6.75
2022-12-24 03:58:17.9975160;cg1;3854;0;8;22;16;0;0;0;0;0;-6.81
2022-12-24 04:13:38.5570300;cg1;3850;0;8;20;12;0;0;0;0;0;-7.0
2022-12-24 04:29:02.9160250;cg1;3854;0;1;19;19;1;0;0;0;0;-7.19
2022-12-24 04:44:21.6770190;cg1;3854;0;1;18;9;0;0;0;0;0;-7.31
2022-12-24 04:59:40.8079590;cg1;3854;0;1;18;10;0;0;0;0;0;-7.38
2022-12-24 05:14:58.4332010;cg1;3852;0;1;18;7;0;0;0;0;0;-7.5
2022-12-24 05:45:38.7208310;cg1;3850;0;1;18;9;0;0;0;0;0;-7.69
2022-12-24 06:16:23.0660360;cg1;3844;0;1;17;11;0;0;0;0;0;-7.88
2022-12-24 06:47:08.0893840;cg1;3846;0;1;18;11;0;0;0;0;0;-8.0
2022-12-24 07:02:36.3433910;cg1;3840;0;1;18;27;0;0;0;0;0;-8.12
2022-12-24 07:33:22.5725660;cg1;3842;0;1;18;10;0;0;0;0;0;-8.38
2022-12-24 07:48:42.1032110;cg1;3832;0;1;18;9;0;0;0;0;0;-8.38
2022-12-24 08:04:02.7560460;cg1;3836;0;1;18;12;0;0;0;0;0;-8.44
2022-12-24 08:19:20.0984380;cg1;3836;0;1;24;6;0;0;0;0;0;-8.44
2022-12-24 08:49:59.8590770;cg1;3832;0;1;27;5;0;0;1;0;0;-8.44
2022-12-24 09:05:18.5885410;cg1;3838;0;1;18;9;0;0;0;0;0;-8.31
2022-12-24 09:20:35.7712350;cg1;3832;0;1;24;6;0;0;0;0;0;-8.25
2022-12-24 09:51:11.9436330;cg1;3832;0;1;25;6;0;0;0;0;0;-8.25
2022-12-24 10:06:38.4982450;cg1;3826;0;8;22;20;1;0;0;0;0;-8.25
2022-12-24 10:21:58.8978010;cg1;3834;0;8;20;12;0;0;0;0;0;-8.25
2022-12-24 10:37:20.5836210;cg1;3826;0;1;25;13;0;0;0;0;0;-8.25
2022-12-24 10:52:39.8632140;cg1;3830;0;1;20;9;0;0;0;0;0;-8.25
2022-12-24 11:07:59.6294940;cg1;3826;0;1;18;11;0;0;0;0;0;-8.19
2022-12-24 11:38:47.5578470;cg1;3832;0;1;18;13;1;0;0;0;0;-8.12
2022-12-24 11:54:07.1449750;cg1;3820;0;1;20;8;1;0;0;0;0;-8.19
2022-12-24 12:09:23.8600690;cg1;3830;0;1;25;5;0;0;0;0;0;-8.31
2022-12-24 12:24:42.2673710;cg1;3826;0;1;25;7;0;0;0;0;0;-8.38
2022-12-24 12:55:24.3551430;cg1;3818;0;1;24;6;0;0;0;0;0;-8.62
2022-12-24 13:10:42.3583620;cg1;3826;0;1;25;7;0;0;0;0;0;-8.69
2022-12-24 13:26:05.3890690;cg1;3824;0;8;23;16;0;0;0;0;0;-8.88
2022-12-24 13:41:26.9204920;cg1;3826;0;1;25;13;1;0;0;0;0;-9.06
2022-12-24 14:12:07.7215740;cg1;3824;0;1;19;10;0;0;0;0;0;-8.94
2022-12-24 14:27:27.2309390;cg1;3824;0;1;18;8;1;0;0;0;0;-8.81
2022-12-24 14:42:46.8477750;cg1;3824;0;1;21;10;0;0;0;0;0;-8.75
2022-12-24 14:58:07.5858380;cg1;3804;0;1;19;11;0;0;0;0;0;-8.88
2022-12-24 15:13:27.6346310;cg1;3820;0;1;19;11;0;0;0;0;0;-9.19
2022-12-24 15:28:48.1273200;cg1;3814;0;1;19;12;0;0;0;0;0;-9.44
2022-12-24 15:44:13.8789420;cg1;3806;0;8;24;19;0;0;0;0;0;-9.75
2022-12-24 15:59:30.9131350;cg1;3812;0;8;24;6;0;0;0;0;0;-10.0
2022-12-24 16:14:50.2750180;cg1;3812;0;8;23;11;1;0;0;0;0;-10.25
2022-12-24 16:30:07.1728560;cg1;3808;0;8;24;6;0;0;0;0;0;-10.56
2022-12-24 16:45:27.4868320;cg1;3804;0;1;24;13;0;0;0;0;0;-11.0
2022-12-24 17:16:03.3332510;cg1;3806;0;1;24;6;0;0;0;0;0;-12.0
2022-12-24 17:31:22.4001130;cg1;3804;0;1;20;10;0;0;0;0;0;-12.38
2022-12-24 17:46:39.5654410;cg1;3804;0;1;25;6;0;0;0;0;0;-12.62
2022-12-24 18:01:56.2095100;cg1;3798;0;1;25;5;1;0;0;0;0;-12.88
2022-12-24 18:17:12.2799050;cg1;3802;0;1;26;6;0;0;0;0;0;-13.06
2022-12-24 18:32:29.7254700;cg1;3790;0;1;20;7;0;0;0;0;0;-13.19
2022-12-24 18:47:49.3344730;cg1;3796;0;1;21;9;0;0;0;0;0;-13.25
2022-12-24 19:03:09.3538480;cg1;3784;0;1;19;12;0;0;0;0;0;-13.38
2022-12-24 19:18:30.6920660;cg1;3764;0;1;21;12;0;0;0;0;0;-13.5
2022-12-24 19:33:48.8459870;cg1;3788;0;1;20;8;0;0;0;0;0;-13.69
2022-12-24 19:49:10.3202320;cg1;3786;0;1;20;13;0;0;0;0;0;-13.94
2022-12-24 20:04:28.3017890;cg1;3784;0;1;25;5;0;0;0;0;0;-14.19
2022-12-24 20:19:46.4510440;cg1;3786;0;1;25;7;0;0;0;0;0;-14.31
2022-12-24 20:35:10.2410550;cg1;3762;0;1;20;13;0;0;0;0;0;-14.56
2022-12-24 20:50:32.9296090;cg1;3778;0;8;23;16;0;0;0;0;0;-14.69
2022-12-24 21:05:54.2957470;cg1;3774;0;1;24;13;1;0;0;0;0;-14.81
2022-12-24 21:21:14.9375120;cg1;3774;0;1;19;12;0;0;0;0;0;-14.94
2022-12-24 21:36:32.2243790;cg1;3770;0;1;24;6;0;0;0;0;0;-15.19
2022-12-24 22:07:15.4160770;cg1;3770;0;1;23;6;0;0;0;0;0;-15.62
2022-12-24 22:22:41.9741350;cg1;3762;0;8;24;23;0;0;0;0;0;-15.75
2022-12-24 22:38:06.4153910;cg1;3764;0;1;22;17;0;0;0;0;0;-15.81
2022-12-24 22:38:06.6158610;cg1;3764;0;1;22;17;0;0;0;0;0;-15.81
2022-12-24 22:53:28.9501630;cg1;3754;0;1;17;17;0;0;0;0;0;-15.88
2022-12-24 23:24:15.0963240;cg1;3754;0;8;24;19;0;0;0;0;0;-15.88
2022-12-24 23:39:38.9686940;cg1;3750;0;1;19;17;0;0;0;0;8;
2022-12-24 23:54:59.3555930;cg1;3754;0;1;19;9;0;0;0;0;0;-14.5
2022-12-25 00:10:18.3920620;cg1;3754;0;1;18;6;0;0;0;0;0;-13.88
2022-12-25 00:25:35.5910850;cg1;3762;0;1;24;5;0;0;0;0;0;-13.31
2022-12-25 00:40:54.2301350;cg1;3776;0;1;18;8;0;0;0;0;0;-12.88
2022-12-25 00:56:13.7515200;cg1;3774;0;1;18;9;0;0;0;0;0;-12.62
2022-12-25 01:11:32.6229590;cg1;3778;0;1;20;7;0;0;0;0;0;-12.44
2022-12-25 01:26:49.3528280;cg1;3776;0;1;23;6;0;0;0;0;0;-12.25
2022-12-25 01:42:06.4767900;cg1;3768;0;1;25;5;0;0;0;0;0;-12.0
2022-12-25 01:57:25.8347120;cg1;3764;0;1;19;10;0;0;0;0;0;-11.81
2022-12-25 02:12:57.5433690;cg1;3776;0;1;17;31;0;0;0;0;0;-11.56
2022-12-25 02:28:19.5234940;cg1;3768;0;1;19;8;0;0;0;0;0;-11.44
2022-12-25 02:59:08.3376960;cg1;3770;0;1;17;29;0;0;0;0;0;-11.5
2022-12-25 03:14:26.3244590;cg1;3770;0;1;19;7;0;0;0;0;0;-11.44
2022-12-25 03:29:43.4352060;cg1;3770;0;1;23;6;0;0;0;0;0;-11.44
2022-12-25 03:45:07.1154630;cg1;3770;0;1;18;10;1;0;0;0;0;-11.38
2022-12-25 04:00:26.4012210;cg1;3778;0;1;24;6;0;0;0;0;0;-11.38
2022-12-25 04:15:43.3599750;cg1;3778;0;1;23;6;0;0;0;0;0;-11.56
2022-12-25 04:31:01.2897320;cg1;3770;0;1;19;9;0;0;0;0;0;-11.81
2022-12-25 04:46:23.4495180;cg1;3776;0;1;16;15;0;0;0;0;0;-11.94
2022-12-25 05:16:59.0496720;cg1;3762;0;1;19;8;0;0;0;0;0;-11.69
2022-12-25 05:32:17.1296840;cg1;3764;0;1;19;8;0;0;0;0;0;-11.69
2022-12-25 05:47:36.8082590;cg1;3768;0;1;16;10;0;0;0;0;0;-11.62
2022-12-25 06:02:54.7273200;cg1;3756;0;1;22;8;0;0;0;0;0;-11.44
2022-12-25 06:18:17.2933770;cg1;3772;0;1;19;9;0;0;0;0;0;-11.31
